Area,Area Id,Variable Name,Variable Id,Year,Value,Symbol,Md
Benin,53,Agricultural water withdrawal,4250,1990,0.0823,I,
Benin,53,Agricultural water withdrawal,4250,1994,0.097,,
Benin,53,Agricultural water withdrawal,4250,2001,0.059,I,
Bhutan,18,Agricultural water withdrawal,4250,2008,0.318,,
Bolivia (Plurinational State of),19,Agricultural water withdrawal,4250,1987,1.054,,
Bolivia (Plurinational State of),19,Agricultural water withdrawal,4250,1999,1.777,L,[26]
Bolivia (Plurinational State of),19,Agricultural water withdrawal,4250,2008,1.92,I,
Botswana,20,Agricultural water withdrawal,4250,1992,0.054,,
Botswana,20,Agricultural water withdrawal,4250,1995,0.0638,I,
Botswana,20,Agricultural water withdrawal,4250,2000,0.08,,[27]
Botswana,20,Agricultural water withdrawal,4250,2012,0.0743,,
Botswana,20,Agricultural water withdrawal,4250,2016,0.081,,
Brazil,21,Agricultural water withdrawal,4250,1996,33.43,,
Brazil,21,Agricultural water withdrawal,4250,2006,31.7,,
Brazil,21,Agricultural water withdrawal,4250,2010,44.9,,
Brazil,21,Agricultural water withdrawal,4250,2016,35.41,,
Brunei Darussalam,26,Agricultural water withdrawal,4250,1995,0.0053,L,[28]
Bulgaria,27,Agricultural water withdrawal,4250,1990,2.225,I,
Bulgaria,27,Agricultural water withdrawal,4250,2002,0.743,E,[29]
Bulgaria,27,Agricultural water withdrawal,4250,2006,0.8759,E,[30]
Bulgaria,27,Agricultural water withdrawal,4250,2012,0.9494,,
Bulgaria,27,Agricultural water withdrawal,4250,2015,0.8288,,
Burkina Faso,233,Agricultural water withdrawal,4250,1985,0.23,,
Burkina Faso,233,Agricultural water withdrawal,4250,1992,0.303,,
Burkina Faso,233,Agricultural water withdrawal,4250,2001,0.4207,L,[31]
Burkina Faso,233,Agricultural water withdrawal,4250,2005,0.4207,L,
Burundi,29,Agricultural water withdrawal,4250,1987,0.064,,
Burundi,29,Agricultural water withdrawal,4250,2000,0.222,I,
Cabo Verde,35,Agricultural water withdrawal,4250,1990,0.022,,
Cabo Verde,35,Agricultural water withdrawal,4250,2000,0.02,L,
Cabo Verde,35,Agricultural water withdrawal,4250,2004,0.025,L,[32]
Cambodia,115,Agricultural water withdrawal,4250,2006,2.053,,
Cameroon,32,Agricultural water withdrawal,4250,1987,0.14,,
Cameroon,32,Agricultural water withdrawal,4250,1992,0.14,,
Cameroon,32,Agricultural water withdrawal,4250,2000,0.737,L,[33]
Canada,33,Agricultural water withdrawal,4250,1991,3.991,E,[34]
Canada,33,Agricultural water withdrawal,4250,1996,4.104,E,[35]
Canada,33,Agricultural water withdrawal,4250,2007,2.322,E,
Canada,33,Agricultural water withdrawal,4250,2010,4.749,L,"[36,37]"
Canada,33,Agricultural water withdrawal,4250,2015,2.639,,
Central African Republic,37,Agricultural water withdrawal,4250,1987,4.00E-04,L,[38]
Central African Republic,37,Agricultural water withdrawal,4250,2000,4.00E-04,L,"[39,40]"
Central African Republic,37,Agricultural water withdrawal,4250,2005,4.00E-04,L,"[41,42]"
Chad,39,Agricultural water withdrawal,4250,1987,0.148,,
Chad,39,Agricultural water withdrawal,4250,2002,0.6722,L,[43]
Chad,39,Agricultural water withdrawal,4250,2005,0.6722,L,"[44,45]"
Chile,40,Agricultural water withdrawal,4250,2006,29.42,,
China,351,Agricultural water withdrawal,4250,1980,391.2,,
China,351,Agricultural water withdrawal,4250,1985,415.2,I,
China,351,Agricultural water withdrawal,4250,1990,415,,
China,351,Agricultural water withdrawal,4250,1993,407.7,,
China,351,Agricultural water withdrawal,4250,2000,378.4,,
China,351,Agricultural water withdrawal,4250,2007,360,,
China,351,Agricultural water withdrawal,4250,2012,388,,
China,351,Agricultural water withdrawal,4250,2015,385.2,,
Colombia,44,Agricultural water withdrawal,4250,1996,3.308,,
Colombia,44,Agricultural water withdrawal,4250,2000,4.92,L,
Colombia,44,Agricultural water withdrawal,4250,2008,6.391,I,
Comoros,45,Agricultural water withdrawal,4250,1999,0.0047,,
Congo,46,Agricultural water withdrawal,4250,1987,0.0044,,
Congo,46,Agricultural water withdrawal,4250,2002,0.004,I,
Costa Rica,48,Agricultural water withdrawal,4250,2012,1.673,,
Costa Rica,48,Agricultural water withdrawal,4250,2015,2.302,,
Côte d'Ivoire,107,Agricultural water withdrawal,4250,1987,0.475,,
Côte d'Ivoire,107,Agricultural water withdrawal,4250,1994,0.8,,
Côte d'Ivoire,107,Agricultural water withdrawal,4250,2000,0.6,L,
Côte d'Ivoire,107,Agricultural water withdrawal,4250,2005,0.5953,L,"[46,47]"
Côte d'Ivoire,107,Agricultural water withdrawal,4250,2008,0.5953,L,[48]
Côte d'Ivoire,107,Agricultural water withdrawal,4250,2014,0.6,,
Croatia,98,Agricultural water withdrawal,4250,2002,0.0059,,
Croatia,98,Agricultural water withdrawal,4250,2007,0.0032,E,[49]
Croatia,98,Agricultural water withdrawal,4250,2010,0.0086,,
Cuba,49,Agricultural water withdrawal,4250,1995,2.666,,
Cuba,49,Agricultural water withdrawal,4250,2007,2.476,,
Cuba,49,Agricultural water withdrawal,4250,2010,3.569,,
Cuba,49,Agricultural water withdrawal,4250,2013,4.519,,
Cyprus,50,Agricultural water withdrawal,4250,1975,0.13,,
Cyprus,50,Agricultural water withdrawal,4250,1980,0.14,,
Cyprus,50,Agricultural water withdrawal,4250,1985,0.155,,
Cyprus,50,Agricultural water withdrawal,4250,1990,0.166,,
Cyprus,50,Agricultural water withdrawal,4250,1993,0.156,,
Cyprus,50,Agricultural water withdrawal,4250,2002,0.1606,E,[50]
Cyprus,50,Agricultural water withdrawal,4250,2007,0.143,E,[51]
Cyprus,50,Agricultural water withdrawal,4250,2012,0.171,E,[52]
Cyprus,50,Agricultural water withdrawal,4250,2016,0.2,,
Czechia,167,Agricultural water withdrawal,4250,1985,,,[53]
Czechia,167,Agricultural water withdrawal,4250,1990,,,[54]
Czechia,167,Agricultural water withdrawal,4250,1997,0.02,E,[55]
Czechia,167,Agricultural water withdrawal,4250,2002,0.0187,E,
Czechia,167,Agricultural water withdrawal,4250,2007,0.0298,E,
Czechia,167,Agricultural water withdrawal,4250,2012,0.0432,E,[56]
Czechia,167,Agricultural water withdrawal,4250,2016,0.0475,,
Democratic People's Republic of Korea,116,Agricultural water withdrawal,4250,1995,6.61,L,
Democratic People's Republic of Korea,116,Agricultural water withdrawal,4250,2005,6.61,L,
Democratic Republic of the Congo,250,Agricultural water withdrawal,4250,1995,0.083,,
Democratic Republic of the Congo,250,Agricultural water withdrawal,4250,2000,0.0719,L,[57]
Democratic Republic of the Congo,250,Agricultural water withdrawal,4250,2005,0.0719,L,"[58,59]"
Denmark,54,Agricultural water withdrawal,4250,1970,0.18,E,
Denmark,54,Agricultural water withdrawal,4250,1975,0.46,E,
Denmark,54,Agricultural water withdrawal,4250,1980,0.46,E,
Denmark,54,Agricultural water withdrawal,4250,1985,0.7,E,
Denmark,54,Agricultural water withdrawal,4250,1990,0.465,E,
Denmark,54,Agricultural water withdrawal,4250,1997,0.369,E,
Denmark,54,Agricultural water withdrawal,4250,2002,0.1652,E,[60]
Denmark,54,Agricultural water withdrawal,4250,2007,0.1175,E,[61]
Denmark,54,Agricultural water withdrawal,4250,2012,0.164,E,[62]
Djibouti,72,Agricultural water withdrawal,4250,1985,0.007,,
Djibouti,72,Agricultural water withdrawal,4250,2000,0.003,,[63]
Dominica,55,Agricultural water withdrawal,4250,2010,0.001,I,
Dominican Republic,56,Agricultural water withdrawal,4250,2000,4.2,I,
Dominican Republic,56,Agricultural water withdrawal,4250,2005,4.487,I,
Dominican Republic,56,Agricultural water withdrawal,4250,2010,5.715,,
Dominican Republic,56,Agricultural water withdrawal,4250,2015,7.563,,[64]
Ecuador,58,Agricultural water withdrawal,4250,2000,8.076,L,[65]
Ecuador,58,Agricultural water withdrawal,4250,2005,8.076,L,"[66,67]"
Egypt,59,Agricultural water withdrawal,4250,1995,50.71,I,
Egypt,59,Agricultural water withdrawal,4250,2000,59,,
Egypt,59,Agricultural water withdrawal,4250,2012,61.5,,
Egypt,59,Agricultural water withdrawal,4250,2017,61.35,,
El Salvador,60,Agricultural water withdrawal,4250,1992,0.336,,
El Salvador,60,Agricultural water withdrawal,4250,2000,0.76,L,
El Salvador,60,Agricultural water withdrawal,4250,2005,1.431,,
Equatorial Guinea,61,Agricultural water withdrawal,4250,1987,6.00E-04,,
Equatorial Guinea,61,Agricultural water withdrawal,4250,2000,0.001,L,
Eritrea,178,Agricultural water withdrawal,4250,2000,0.29,L,
Eritrea,178,Agricultural water withdrawal,4250,2004,0.55,,
Estonia,63,Agricultural water withdrawal,4250,1995,0.008,,
Estonia,63,Agricultural water withdrawal,4250,2002,0.03,E,[68]
Estonia,63,Agricultural water withdrawal,4250,2007,0.0076,E,[69]
Estonia,63,Agricultural water withdrawal,4250,2012,0.0045,E,
Estonia,63,Agricultural water withdrawal,4250,2014,0.005,,
Eswatini,209,Agricultural water withdrawal,4250,1980,0.63,,
Eswatini,209,Agricultural water withdrawal,4250,2000,1.006,I,[70]
Ethiopia,238,Agricultural water withdrawal,4250,2002,5.204,I,
Ethiopia,238,Agricultural water withdrawal,4250,2005,7,I,
Ethiopia,238,Agricultural water withdrawal,4250,2016,9.687,K,[71]
Fiji,66,Agricultural water withdrawal,4250,1987,0.018,,
Fiji,66,Agricultural water withdrawal,4250,2000,0.05,L,
Fiji,66,Agricultural water withdrawal,4250,2005,0.05,I,
Finland,67,Agricultural water withdrawal,4250,1990,0.02,E,
Finland,67,Agricultural water withdrawal,4250,1995,0.05,E,
Finland,67,Agricultural water withdrawal,4250,2002,0.05,E,[72]
Finland,67,Agricultural water withdrawal,4250,2005,0.05,E,[73]
France,68,Agricultural water withdrawal,4250,1992,4.919,E,
France,68,Agricultural water withdrawal,4250,1997,3.35,E,
France,68,Agricultural water withdrawal,4250,2002,4.291,E,[74]
France,68,Agricultural water withdrawal,4250,2007,3.933,E,[75]
France,68,Agricultural water withdrawal,4250,2012,2.913,,
France,68,Agricultural water withdrawal,4250,2016,3.111,,
Gabon,74,Agricultural water withdrawal,4250,1987,0.0036,,
Gabon,74,Agricultural water withdrawal,4250,2000,0.0403,L,[76]
Gabon,74,Agricultural water withdrawal,4250,2005,0.0403,L,"[77,78]"
Gambia,75,Agricultural water withdrawal,4250,1982,0.0182,,
Gambia,75,Agricultural water withdrawal,4250,1999,0.0392,L,[79]
Georgia,73,Agricultural water withdrawal,4250,2005,1.055,,[80]
Germany,79,Agricultural water withdrawal,4250,1991,1.6,E,
Germany,79,Agricultural water withdrawal,4250,1995,1.6,,
Germany,79,Agricultural water withdrawal,4250,2000,1.14,E,
Germany,79,Agricultural water withdrawal,4250,2007,0.1317,E,
Germany,79,Agricultural water withdrawal,4250,2010,0.2109,E,[81]
Germany,79,Agricultural water withdrawal,4250,2013,0.597,,
Ghana,81,Agricultural water withdrawal,4250,1970,0.156,,
Ghana,81,Agricultural water withdrawal,4250,2000,0.652,I,
Ghana,81,Agricultural water withdrawal,4250,2016,1.07,,
Greece,84,Agricultural water withdrawal,4250,1970,2.425,E,[82]
Greece,84,Agricultural water withdrawal,4250,1975,3.576,E,
Greece,84,Agricultural water withdrawal,4250,1985,4.6,E,[83]
Greece,84,Agricultural water withdrawal,4250,1992,7.9,E,[84]
Greece,84,Agricultural water withdrawal,4250,1997,7.6,E,[85]
Greece,84,Agricultural water withdrawal,4250,2002,8.42,E,[86]
Greece,84,Agricultural water withdrawal,4250,2007,8.458,E,[87]
Greece,84,Agricultural water withdrawal,4250,2011,7.918,E,[88]
Grenada,86,Agricultural water withdrawal,4250,1997,0.0022,L,[89]
Grenada,86,Agricultural water withdrawal,4250,2014,0.0021,I,
Guatemala,89,Agricultural water withdrawal,4250,2001,1.472,,
Guatemala,89,Agricultural water withdrawal,4250,2006,1.886,,
Guinea,90,Agricultural water withdrawal,4250,1987,0.644,,
Guinea,90,Agricultural water withdrawal,4250,2001,0.2929,L,[90]
Guinea-Bissau,175,Agricultural water withdrawal,4250,1991,0.006,,
Guinea-Bissau,175,Agricultural water withdrawal,4250,1996,0.144,,
Guinea-Bissau,175,Agricultural water withdrawal,4250,2000,0.144,,
Guyana,91,Agricultural water withdrawal,4250,1992,1.438,,
Guyana,91,Agricultural water withdrawal,4250,2000,1.6,L,
Guyana,91,Agricultural water withdrawal,4250,2010,1.363,L,[91]
Haiti,93,Agricultural water withdrawal,4250,1991,0.9246,,
Haiti,93,Agricultural water withdrawal,4250,1995,1.169,,
Haiti,93,Agricultural water withdrawal,4250,2009,1.209,L,[92]
Honduras,95,Agricultural water withdrawal,4250,2003,1.178,,
Hungary,97,Agricultural water withdrawal,4250,1970,0.665,E,[93]
Hungary,97,Agricultural water withdrawal,4250,1975,0.8903,E,[94]
Hungary,97,Agricultural water withdrawal,4250,1985,2.286,,
Hungary,97,Agricultural water withdrawal,4250,1992,0.949,E,[95]
Hungary,97,Agricultural water withdrawal,4250,1996,0.4556,E,[96]
Hungary,97,Agricultural water withdrawal,4250,2002,0.6796,E,[97]
Hungary,97,Agricultural water withdrawal,4250,2006,0.3054,E,[98]
Hungary,97,Agricultural water withdrawal,4250,2012,0.322,E,[99]
Iceland,99,Agricultural water withdrawal,4250,1980,0.004,E,
Iceland,99,Agricultural water withdrawal,4250,1985,0.004,E,[100]
Iceland,99,Agricultural water withdrawal,4250,1992,0.07,E,[101]
Iceland,99,Agricultural water withdrawal,4250,2002,0.07,E,[102]
Iceland,99,Agricultural water withdrawal,4250,2004,0.07,E,[103]
Iceland,99,Agricultural water withdrawal,4250,2012,3.00E-04,,
Iceland,99,Agricultural water withdrawal,4250,2015,3.00E-04,,
India,100,Agricultural water withdrawal,4250,1975,353.4,,
India,100,Agricultural water withdrawal,4250,1980,411.7,I,
India,100,Agricultural water withdrawal,4250,1986,468,I,
India,100,Agricultural water withdrawal,4250,1990,460,,
India,100,Agricultural water withdrawal,4250,2000,558.4,L,
India,100,Agricultural water withdrawal,4250,2010,688,,
Indonesia,101,Agricultural water withdrawal,4250,1990,69.24,,
Indonesia,101,Agricultural water withdrawal,4250,2000,92.76,,
Indonesia,101,Agricultural water withdrawal,4250,2016,189.7,,
Iran (Islamic Republic of),102,Agricultural water withdrawal,4250,1995,76,,
Iran (Islamic Republic of),102,Agricultural water withdrawal,4250,2001,83.75,I,
Iran (Islamic Republic of),102,Agricultural water withdrawal,4250,2004,86,,
Iraq,103,Agricultural water withdrawal,4250,1975,39.53,,
Iraq,103,Agricultural water withdrawal,4250,1980,39.77,I,
Iraq,103,Agricultural water withdrawal,4250,1985,40,,
Iraq,103,Agricultural water withdrawal,4250,1990,39.38,,
Iraq,103,Agricultural water withdrawal,4250,1995,45.69,I,
Iraq,103,Agricultural water withdrawal,4250,2000,52,,
Iraq,103,Agricultural water withdrawal,4250,2016,35.27,,
Ireland,104,Agricultural water withdrawal,4250,1970,0.179,E,
Ireland,104,Agricultural water withdrawal,4250,1980,0.13,E,
Ireland,104,Agricultural water withdrawal,4250,1994,0.179,E,[104]
Israel,105,Agricultural water withdrawal,4250,1970,1.249,,
Israel,105,Agricultural water withdrawal,4250,1975,1.242,I,
Israel,105,Agricultural water withdrawal,4250,1980,1.235,,
Israel,105,Agricultural water withdrawal,4250,1990,1.216,,
Israel,105,Agricultural water withdrawal,4250,2002,1.021,,
Israel,105,Agricultural water withdrawal,4250,2004,1.129,,
Israel,105,Agricultural water withdrawal,4250,2009,1.016,,
Italy,106,Agricultural water withdrawal,4250,1970,25.6,,
Italy,106,Agricultural water withdrawal,4250,2000,20.01,L,
Italy,106,Agricultural water withdrawal,4250,2007,12.89,L,[105]
Italy,106,Agricultural water withdrawal,4250,2013,17,,
Jamaica,109,Agricultural water withdrawal,4250,1993,0.696,,
Jamaica,109,Agricultural water withdrawal,4250,2007,0.448,L,
Jamaica,109,Agricultural water withdrawal,4250,2016,0.114,,
Japan,110,Agricultural water withdrawal,4250,1980,58,,
Japan,110,Agricultural water withdrawal,4250,1992,58.6,,
Japan,110,Agricultural water withdrawal,4250,1997,58.88,E,
Japan,110,Agricultural water withdrawal,4250,2002,56.05,E,[106]
Japan,110,Agricultural water withdrawal,4250,2007,54.5,E,[107]
Japan,110,Agricultural water withdrawal,4250,2009,54.43,E,[108]
Jordan,112,Agricultural water withdrawal,4250,1975,0.293,,
Jordan,112,Agricultural water withdrawal,4250,1980,0.377,I,
Jordan,112,Agricultural water withdrawal,4250,1985,0.461,,
Jordan,112,Agricultural water withdrawal,4250,1992,0.737,,
Jordan,112,Agricultural water withdrawal,4250,2002,0.517,,[109]
Jordan,112,Agricultural water withdrawal,4250,2007,0.589,,[110]
Jordan,112,Agricultural water withdrawal,4250,2012,0.462,,[111]
Jordan,112,Agricultural water withdrawal,4250,2016,0.5547,,[112]
Kazakhstan,108,Agricultural water withdrawal,4250,1995,27.41,,
Kazakhstan,108,Agricultural water withdrawal,4250,2002,14.8,,
Kazakhstan,108,Agricultural water withdrawal,4250,2007,14.03,,
Kazakhstan,108,Agricultural water withdrawal,4250,2012,13.69,,
Kazakhstan,108,Agricultural water withdrawal,4250,2016,15.19,,
Kenya,114,Agricultural water withdrawal,4250,1990,1.566,,
Kenya,114,Agricultural water withdrawal,4250,2000,1.01,L,
Kenya,114,Agricultural water withdrawal,4250,2003,1.75,,[113]
Kenya,114,Agricultural water withdrawal,4250,2010,1.907,,[114]
Kenya,114,Agricultural water withdrawal,4250,2016,3.234,,
Kuwait,118,Agricultural water withdrawal,4250,1994,0.324,,
Kuwait,118,Agricultural water withdrawal,4250,2002,0.4919,,
Kyrgyzstan,113,Agricultural water withdrawal,4250,1994,9.496,,
Kyrgyzstan,113,Agricultural water withdrawal,4250,2000,9.45,L,
Kyrgyzstan,113,Agricultural water withdrawal,4250,2006,7.447,,
Kyrgyzstan,113,Agricultural water withdrawal,4250,2011,7.1,,
Lao People's Democratic Republic,120,Agricultural water withdrawal,4250,2005,3.193,L,[115]
Lao People's Democratic Republic,120,Agricultural water withdrawal,4250,2016,7.36,,
Latvia,119,Agricultural water withdrawal,4250,1995,0.036,,
Latvia,119,Agricultural water withdrawal,4250,2002,0.0532,E,[116]
Latvia,119,Agricultural water withdrawal,4250,2007,0.0506,E,[117]
Latvia,119,Agricultural water withdrawal,4250,2012,0.0408,E,[118]
Latvia,119,Agricultural water withdrawal,4250,2016,0.0581,,
Lebanon,121,Agricultural water withdrawal,4250,1975,0.638,,
Lebanon,121,Agricultural water withdrawal,4250,1994,0.875,,
Lebanon,121,Agricultural water withdrawal,4250,2000,0.92,L,
Lebanon,121,Agricultural water withdrawal,4250,2005,0.78,,
Lebanon,121,Agricultural water withdrawal,4250,2015,0.7,,
Lesotho,122,Agricultural water withdrawal,4250,1987,0.028,,
Lesotho,122,Agricultural water withdrawal,4250,1999,0.0038,L,[119]
Liberia,123,Agricultural water withdrawal,4250,1987,0.078,,
Liberia,123,Agricultural water withdrawal,4250,2000,0.0123,L,[120]
Libya,124,Agricultural water withdrawal,4250,1985,1.965,,
Libya,124,Agricultural water withdrawal,4250,1990,4.28,,
Libya,124,Agricultural water withdrawal,4250,1994,4,,
Libya,124,Agricultural water withdrawal,4250,2000,3.584,,
Libya,124,Agricultural water withdrawal,4250,2012,4.85,,
Lithuania,126,Agricultural water withdrawal,4250,1995,0.008,,
Lithuania,126,Agricultural water withdrawal,4250,2001,0.053,E,[121]
Lithuania,126,Agricultural water withdrawal,4250,2007,0.0818,E,[122]
Lithuania,126,Agricultural water withdrawal,4250,2009,0.0793,E,[123]
Lithuania,126,Agricultural water withdrawal,4250,2017,0.0591,,[124]
Luxembourg,256,Agricultural water withdrawal,4250,1995,2.00E-04,E,
Luxembourg,256,Agricultural water withdrawal,4250,1999,2.00E-04,E,
Luxembourg,256,Agricultural water withdrawal,4250,2012,2.00E-04,E,[125]
Luxembourg,256,Agricultural water withdrawal,4250,2016,3.00E-04,,
Madagascar,129,Agricultural water withdrawal,4250,1984,16.14,,
Madagascar,129,Agricultural water withdrawal,4250,2000,13,I,
Madagascar,129,Agricultural water withdrawal,4250,2005,13,,
Malawi,130,Agricultural water withdrawal,4250,1994,0.809,,
Malawi,130,Agricultural water withdrawal,4250,2002,1.166,L,[126]
Malawi,130,Agricultural water withdrawal,4250,2005,1.166,L,"[127,128]"
Malaysia,131,Agricultural water withdrawal,4250,1990,8.3,I,
Malaysia,131,Agricultural water withdrawal,4250,1996,2.505,L,[129]
Malaysia,131,Agricultural water withdrawal,4250,2000,2.505,L,"[130,131]"
Malaysia,131,Agricultural water withdrawal,4250,2005,2.505,L,"[132,133]"
Maldives,132,Agricultural water withdrawal,4250,1987,0,,
Maldives,132,Agricultural water withdrawal,4250,2008,0,I,
Mali,133,Agricultural water withdrawal,4250,1987,1.319,,
Mali,133,Agricultural water withdrawal,4250,1996,3.725,,
Mali,133,Agricultural water withdrawal,4250,2001,4.99,,
Mali,133,Agricultural water withdrawal,4250,2006,5.075,,
Malta,134,Agricultural water withdrawal,4250,1995,0.007,,
Malta,134,Agricultural water withdrawal,4250,2002,0.0189,E,[134]
Malta,134,Agricultural water withdrawal,4250,2007,0.0203,E,[135]
Malta,134,Agricultural water withdrawal,4250,2012,0.0241,E,[136]
Malta,134,Agricultural water withdrawal,4250,2016,0.0255,,
Mauritania,136,Agricultural water withdrawal,4250,1980,0.613,,
Mauritania,136,Agricultural water withdrawal,4250,1985,1.5,,
Mauritania,136,Agricultural water withdrawal,4250,2000,1.5,L,
Mauritania,136,Agricultural water withdrawal,4250,2004,1.223,L,[137]
Mauritius,137,Agricultural water withdrawal,4250,1974,0.2768,,
Mauritius,137,Agricultural water withdrawal,4250,1995,0.46,,
Mauritius,137,Agricultural water withdrawal,4250,2003,0.491,,
Mexico,138,Agricultural water withdrawal,4250,1995,62.5,E,
Mexico,138,Agricultural water withdrawal,4250,2002,56.1,,
Mexico,138,Agricultural water withdrawal,4250,2007,60.57,,
Mexico,138,Agricultural water withdrawal,4250,2012,63.35,,
Mexico,138,Agricultural water withdrawal,4250,2016,66.05,,
Monaco,140,Agricultural water withdrawal,4250,1990,0,E,
Monaco,140,Agricultural water withdrawal,4250,1997,0,E,
Monaco,140,Agricultural water withdrawal,4250,2002,0,E,
Monaco,140,Agricultural water withdrawal,4250,2007,0,E,
Monaco,140,Agricultural water withdrawal,4250,2009,0,E,
Mongolia,141,Agricultural water withdrawal,4250,1993,0.227,,
Mongolia,141,Agricultural water withdrawal,4250,2006,0.224,,
Mongolia,141,Agricultural water withdrawal,4250,2009,0.242,,
Mongolia,141,Agricultural water withdrawal,4250,2016,0.2509,,
Montenegro,273,Agricultural water withdrawal,4250,2007,0.0066,E,
Montenegro,273,Agricultural water withdrawal,4250,2010,0.0017,,
Morocco,143,Agricultural water withdrawal,4250,1992,10.18,,
Morocco,143,Agricultural water withdrawal,4250,1995,9.884,I,
Morocco,143,Agricultural water withdrawal,4250,2002,11.05,,
Morocco,143,Agricultural water withdrawal,4250,2010,9.156,,
Mozambique,144,Agricultural water withdrawal,4250,1990,0.54,,
Mozambique,144,Agricultural water withdrawal,4250,2001,0.69,L,[138]
Mozambique,144,Agricultural water withdrawal,4250,2015,1.076,,
Myanmar,28,Agricultural water withdrawal,4250,1987,27.86,I,
Myanmar,28,Agricultural water withdrawal,4250,2000,29.57,,
Namibia,147,Agricultural water withdrawal,4250,1985,0.115,,
